,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
98,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2020.0,Masonry,957.83,324.68,836.33,290.93,508.95,1043.55,1435.73,1438.43,1455.3,1127.93,872.1,976.73,11268.49,NR,Transfer Facility
99,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2020.0,Asphalt and Road Material,1014.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.05,NR,Transfer Facility
100,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2020.0,Wood,154.49,72.21,146.07,82.07,109.35,77.99,60.27,329.29,333.24,191.76,232.48,109.19,1898.41,NR,Transfer Facility
101,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2020.0,Soil,274.4,291.2,883.68,231.28,101.92,171.92,569.52,186.48,197.12,221.76,0.0,213.92,3343.2,NR,Transfer Facility
102,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2019.0,Concrete,217.0,262.0,385.0,560.0,660.0,596.0,731.0,571.0,623.0,818.0,866.0,514.0,6803.0,NR,Transfer Facility
103,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2019.0,Masonry,117.0,45.0,89.0,90.0,71.0,114.0,108.0,204.0,220.0,1969.0,231.0,164.0,3422.0,NR,Transfer Facility
104,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2019.0,Wood,121.0,96.0,128.0,131.0,113.0,95.0,185.0,35.0,188.0,205.0,103.0,10.0,1410.0,NR,Transfer Facility
105,Hubbard Sand & Gravel Corp aka Northeast Recycling Corp,1.0,[52W96R],2019.0,Soil,41.0,106.0,138.0,101.0,362.0,476.0,64.0,488.0,104.0,208.0,77.0,51.0,2216.0,NR,Transfer Facility
106,IROC Industries,1.0,[30W44R],2019.0,Concrete,238.0,388.0,736.0,1831.0,1209.0,814.0,540.0,305.0,843.0,471.0,265.0,72.0,7712.0,NR,Transfer Facility
107,IROC Industries,1.0,[30W44R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,15.0,0.0,59.17,0.0,0.0,0.0,0.0,8.54,0.0,82.71,NR,Transfer Facility
108,IROC Industries,1.0,[30W44R],2019.0,Soil,18.3,54.9,22.5,54.9,12.2,0.0,0.0,0.0,0.0,0.0,12.2,0.0,175.0,NR,Transfer Facility
109,IROC Industries,1.0,[30W44R],2019.0,Fill,844.5,663.0,1196.25,1045.88,1593.0,789.0,1194.0,1018.5,1127.25,1232.25,1199.25,1482.75,13385.63,NR,Transfer Facility
110,Islandwide Recycling,1.0,[52W95R],2019.0,Masonry,2.0,4.0,4.0,9.0,2.0,1.0,6.0,4.0,8.0,2.0,1.0,0.0,43.0,NR,Transfer Facility
111,Islandwide Recycling,1.0,[52W95R],2019.0,Masonry,1.0,2.0,1.0,4.0,0.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,22.0,NR,Transfer Facility
112,Islandwide Recycling,1.0,[52W95R],2019.0,"Rock, Stone, and Gravel",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,NR,Transfer Facility
