,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
113,Islandwide Recycling,1.0,[52W95R],2019.0,Gypsum,17.0,26.0,19.0,31.0,24.0,30.0,38.0,48.0,32.0,22.0,14.0,8.0,309.0,NR,Transfer Facility
114,Islandwide Recycling,1.0,[52W95R],2019.0,Wood,4.0,7.0,4.0,11.0,13.0,8.0,12.0,12.0,14.0,8.0,2.0,8.0,103.0,NR,Transfer Facility
115,Islandwide Recycling,1.0,[52W95R],2019.0,Soil,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,11.0,NR,Transfer Facility
116,Islandwide Recycling,1.0,[52W95R],2019.0,Sand,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,11.0,NR,Transfer Facility
117,Islandwide Recycling,1.0,[52W95R],2019.0,Tires,0.0,1.0,0.0,4.0,0.0,0.0,7.0,6.0,4.0,1.0,4.0,6.0,33.0,NR,Transfer Facility
118,Islandwide Recycling,1.0,[52W95R],2019.0,Metals,1.0,2.0,6.0,10.0,3.0,9.0,4.0,5.0,3.0,1.0,2.0,0.0,46.0,NR,Transfer Facility
119,Islandwide Recycling,1.0,[52W95R],2019.0,Concrete,8.0,11.0,6.0,28.0,32.0,24.0,21.0,18.0,14.0,12.0,2.0,0.0,176.0,NR,Transfer Facility
120,Izzo Brothers,1.0,[52W98R],2020.0,Concrete,510.0,330.0,660.0,450.0,840.0,930.0,720.0,1350.0,1800.0,1410.0,1110.0,630.0,10740.0,NR,Transfer Facility
121,Izzo Brothers,1.0,[52W98R],2019.0,Concrete,90.0,150.0,0.0,540.0,690.0,540.0,690.0,810.0,780.0,990.0,450.0,480.0,6210.0,NR,Transfer Facility
122,Jim Ski Construction,1.0,[52W193],2019.0,Concrete,7.0,37.0,10.0,5.0,1.0,0.0,10.0,0.0,15.0,15.0,0.0,20.0,120.0,NR,Transfer Facility
123,John T Montecalvo Inc,1.0,[52W07R],2019.0,Asphalt and Road Material,822.0,376.0,776.0,2051.0,1916.0,2689.0,1334.0,1328.0,1116.0,979.0,1837.0,189.0,15413.0,NR,Transfer Facility
124,Jos. M. Troffa Landscape and Mason Supply Inc,1.0,[52W142R],2019.0,Concrete,16.34,31.39,28.81,44.29,33.54,41.71,58.05,63.64,40.42,44.72,38.7,23.65,465.26,NR,Transfer Facility
125,Jos. M. Troffa Landscape and Mason Supply Inc,1.0,[52W142R],2019.0,Masonry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,5.59,2.15,2.15,15.05,NR,Transfer Facility
126,Jos. M. Troffa Landscape and Mason Supply Inc,1.0,[52W142R],2019.0,Asphalt and Road Material,14.04,5.85,0.0,0.0,0.0,14.82,26.13,0.0,0.0,13.65,43.68,0.0,118.17,NR,Transfer Facility
127,Jos. M. Troffa Landscape and Mason Supply Inc,1.0,[52W142R],2019.0,Wood,1.04,1.36,0.96,0.88,0.48,2.4,1.12,0.48,2.48,3.2,1.28,1.12,16.8,NR,Transfer Facility
